resultId,raceId,driverId,constructorId,grid,positionOrder,points,laps,statusId,stop,pit_stop_lap,pit_stop_duration
20814,842,153,5,13,14,0.0,55,11,2,32,22888
20815,842,5,205,19,15,0.0,55,11,1,15,29084
20815,842,5,205,19,15,0.0,55,11,2,34,23336
20816,842,10,166,21,16,0.0,54,12,1,17,24617
20816,842,10,166,21,16,0.0,54,12,2,34,24429
20817,842,808,4,8,17,0.0,52,3,1,15,23182
20817,842,808,4,8,17,0.0,52,3,2,27,22680
20817,842,808,4,8,17,0.0,52,3,3,44,28694
20818,842,24,164,23,18,0.0,46,88,1,17,27815
20818,842,24,164,23,18,0.0,46,88,2,38,26554
20818,842,24,164,23,18,0.0,46,88,3,44,38823
20819,842,816,166,22,19,0.0,42,3,1,17,26252
20819,842,816,166,22,19,0.0,42,3,2,35,24416
20820,842,15,205,20,20,0.0,31,8,1,13,25516
20821,842,815,15,16,21,0.0,23,3,1,17,23597
20822,842,22,3,15,22,0.0,22,6,1,3,32978
20822,842,22,3,15,22,0.0,22,6,2,17,24502
20825,843,1,1,3,1,25.0,56,1,1,15,20878
20825,843,1,1,3,1,25.0,56,1,2,25,20533
20825,843,1,1,3,1,25.0,56,1,3,38,20567
20826,843,20,9,1,2,18.0,56,1,1,14,21995
20826,843,20,9,1,2,18.0,56,1,2,31,21533
20827,843,17,9,18,3,15.0,56,1,1,10,23442
20827,843,17,9,18,3,15.0,56,1,2,25,21132
20827,843,17,9,18,3,15.0,56,1,3,40,21091
20828,843,18,1,2,4,12.0,56,1,1,14,23779
20828,843,18,1,2,4,12.0,56,1,2,24,20758
20828,843,18,1,2,4,12.0,56,1,3,37,21237
20829,843,3,131,4,5,10.0,56,1,1,12,20771
20829,843,3,131,4,5,10.0,56,1,2,25,22005
20829,843,3,131,4,5,10.0,56,1,3,39,20720
20830,843,13,6,6,6,8.0,56,1,1,15,21624
20830,843,13,6,6,6,8.0,56,1,2,33,21168
20831,843,4,6,5,7,6.0,56,1,1,16,22524
20831,843,4,6,5,7,6.0,56,1,2,32,21251
20832,843,30,131,14,8,4.0,56,1,1,10,20522
20832,843,30,131,14,8,4.0,56,1,2,26,21964
20832,843,30,131,14,8,4.0,56,1,3,39,21400
20833,843,808,4,10,9,2.0,56,1,1,17,21981
20833,843,808,4,10,9,2.0,56,1,2,37,22005
20834,843,155,15,13,10,1.0,56,1,1,14,21855
20834,843,155,15,13,10,1.0,56,1,2,30,21936
20835,843,814,10,8,11,0.0,56,1,1,11,21989
20835,843,814,10,8,11,0.0,56,1,2,32,21218
20836,843,2,4,16,12,0.0,56,1,1,18,22216
20836,843,2,4,16,12,0.0,56,1,2,30,21821
20837,843,22,3,15,13,0.0,56,1,1,16,21709
20837,843,22,3,15,13,0.0,56,1,2,35,21481
20838,843,67,5,9,14,0.0,56,1,1,12,22010
20838,843,67,5,9,14,0.0,56,1,2,16,24722
20838,843,67,5,9,14,0.0,56,1,3,33,21928
20839,843,16,10,11,15,0.0,55,11,1,15,20989
20839,843,16,10,11,15,0.0,55,11,2,30,21058
20839,843,16,10,11,15,0.0,55,11,3,47,28708
20840,843,5,205,19,16,0.0,55,11,1,19,22485
20840,843,5,205,19,16,0.0,55,11,2,40,21890
20841,843,815,15,12,17,0.0,55,11,1,16,21473
20841,843,815,15,12,17,0.0,55,11,2,36,23397
20841,843,815,15,12,17,0.0,55,11,3,48,13900
20841,843,815,15,12,17,0.0,55,11,4,50,28845
20842,843,813,3,17,18,0.0,55,11,1,10,23160
20842,843,813,3,17,18,0.0,55,11,2,25,22062
20842,843,813,3,17,18,0.0,55,11,3,40,27620
20843,843,15,205,20,19,0.0,55,11,1,20,23029
20843,843,15,205,20,19,0.0,55,11,2,42,22260
20844,843,816,166,21,20,0.0,54,12,1,20,22901
20844,843,816,166,21,20,0.0,54,12,2,34,22802
20845,843,10,166,22,21,0.0,54,12,1,16,22683
20845,843,10,166,22,21,0.0,54,12,2,28,21908
20845,843,10,166,22,21,0.0,54,12,3,39,33827
20846,843,24,164,23,22,0.0,54,12,1,9,14160
20846,843,24,164,23,22,0.0,54,12,2,21,24467
20846,843,24,164,23,22,0.0,54,12,3,45,23499
20847,843,39,164,24,23,0.0,54,12,1,23,26049
