driverId,constructorId,grid,positionOrder,laps,circuitId,numStops
30,131,22,0,57,3,3
37,164,20,0,55,3,3
39,164,24,0,55,3,4
154,208,7,0,57,3,3
155,15,12,0,57,3,3
807,10,13,0,57,3,3
808,207,18,0,56,3,3
811,3,15,0,54,3,3
813,3,21,0,25,3,2
814,10,10,0,57,3,2
815,15,8,0,57,3,3
817,5,6,0,56,3,3
818,5,17,0,57,3,3
819,206,19,0,24,3,1
1,1,24,0,66,4,2
3,131,6,0,66,4,3
4,6,2,0,66,4,3
5,207,19,0,65,4,3
8,208,4,0,66,4,3
10,206,21,0,64,4,3
13,6,16,0,65,4,4
17,9,11,0,65,4,3
18,1,10,0,66,4,3
20,9,7,0,66,4,4
30,131,8,0,12,4,1
37,164,22,0,63,4,4
39,164,23,0,22,4,2
154,208,3,0,66,4,3
155,15,9,0,66,4,3
807,10,13,0,65,4,3
808,207,18,0,65,4,3
813,3,1,1,66,4,3
814,10,12,0,65,4,3
815,15,5,0,37,4,3
817,5,15,0,65,4,3
818,5,14,0,65,4,3
819,206,20,0,35,4,2
1,1,3,0,78,6,1
3,131,2,0,78,6,1
4,6,5,0,78,6,1
5,207,17,0,77,6,2
8,208,8,0,78,6,1
10,206,19,0,77,6,2
13,6,7,0,78,6,1
17,9,1,1,78,6,1
18,1,12,0,70,6,1
20,9,9,0,78,6,1
30,131,6,0,63,6,1
39,164,22,0,76,6,2
155,15,11,0,5,6,1
807,10,10,0,78,6,1
808,207,18,0,15,6,1
811,3,13,0,78,6,1
814,10,14,0,78,6,1
815,15,23,0,77,6,2
817,5,15,0,65,6,1
818,5,16,0,77,6,2
819,206,21,0,64,6,1
1,1,2,1,70,7,2
3,131,5,0,70,7,2
4,6,3,0,70,7,1
5,207,17,0,69,7,2
8,208,12,0,70,7,1
10,206,21,0,56,7,1
13,6,6,0,70,7,2
17,9,4,0,70,7,2
18,1,10,0,69,7,3
20,9,1,0,70,7,2
30,131,9,0,43,7,2
154,208,7,0,70,7,1
155,15,11,0,70,7,1
807,10,13,0,70,7,2
808,207,18,0,69,7,2
811,3,16,0,69,7,1
813,3,22,0,70,7,1
814,10,8,0,70,7,2
815,15,15,0,70,7,1
817,5,14,0,70,7,2
818,5,19,0,69,7,3
819,206,23,0,69,7,1
1,1,2,0,55,12,2
3,131,6,0,57,12,2
4,6,11,1,57,12,2
5,207,16,0,57,12,2
8,208,5,0,57,12,2
13,6,13,0,56,12,4
17,9,19,0,57,12,2
18,1,9,0,57,12,2
20,9,1,0,33,12,2
30,131,12,0,57,12,2
37,164,21,0,56,12,2
39,164,22,0,56,12,3
154,208,4,0,40,12,2
155,15,7,0,33,12,2
807,10,8,0,57,12,2
808,207,20,0,57,12,4
811,3,14,0,57,12,2
813,3,3,0,57,12,2
814,10,10,0,57,12,1
815,15,15,0,57,12,2
817,5,17,0,57,12,2
818,5,18,0,26,12,1
