resultId,raceId,driverId,constructorId,grid,positionOrder,points,laps,statusId,total_pitstops,total_pitstop_duration
21031,851,813,3,17,16,0.0,68,12,5,103850
21032,851,10,166,20,17,0.0,66,14,3,63764
21033,851,817,164,22,18,0.0,66,14,3,68058
21034,851,816,166,24,19,0.0,65,15,4,118572
21035,851,24,164,21,20,0.0,65,15,5,119441
21036,851,5,205,18,21,0.0,55,47,5,109988
21037,851,30,131,9,22,0.0,26,6,2,42019
21038,851,2,4,14,23,0.0,23,42,2,46805
21039,851,15,205,19,24,0.0,17,44,1,23118
21040,852,20,9,1,1,25.0,44,1,3,63095
21041,852,17,9,3,2,18.0,44,1,2,41962
21042,852,18,1,13,3,15.0,44,1,3,69442
21043,852,4,6,8,4,12.0,44,1,2,42237
21044,852,30,131,24,5,10.0,44,1,3,61698
21045,852,3,131,5,6,8.0,44,1,2,44261
21046,852,16,10,15,7,6.0,44,1,2,43756
21047,852,13,6,4,8,4.0,44,1,3,65608
21048,852,808,4,10,9,2.0,44,1,2,43374
21049,852,813,3,21,10,1.0,44,1,2,43724
21050,852,814,10,17,11,0.0,44,1,2,42684
21051,852,155,15,12,12,0.0,44,1,2,45430
21052,852,811,4,7,13,0.0,44,1,3,65519
21053,852,15,205,18,14,0.0,43,11,2,43643
21054,852,5,205,16,15,0.0,43,11,3,72854
21055,852,22,3,14,16,0.0,43,11,3,91049
21056,852,816,166,20,17,0.0,43,11,2,45053
21057,852,10,166,19,18,0.0,43,11,4,94931
21058,852,24,164,22,19,0.0,43,11,2,52725
21059,852,815,15,9,20,0.0,27,22,3,64064
21060,852,817,164,23,21,0.0,13,5,1,23780
21061,852,1,1,2,22,0.0,12,4,1,21895
21064,853,20,9,1,1,25.0,53,1,2,43502
21065,853,18,1,3,2,18.0,53,1,2,43755
21066,853,4,6,4,3,15.0,53,1,2,44528
21067,853,1,1,2,4,12.0,53,1,2,43959
21068,853,30,131,8,5,10.0,53,1,2,44723
21069,853,13,6,6,6,8.0,53,1,2,43969
21070,853,153,5,18,7,6.0,52,11,2,44267
21071,853,814,10,11,8,4.0,52,11,2,44939
21072,853,811,4,10,9,2.0,52,11,3,67952
21073,853,67,5,16,10,1.0,52,11,2,48320
21074,853,813,3,14,11,0.0,52,11,2,45677
21075,853,22,3,13,12,0.0,52,11,2,52571
21076,853,5,205,20,13,0.0,51,12,2,45909
21077,853,15,205,19,14,0.0,51,12,2,53811
21078,853,10,166,21,15,0.0,51,12,2,47931
21079,853,817,164,23,16,0.0,39,111,2,1035495
21081,853,155,15,17,18,0.0,21,6,2,50489
21088,854,20,9,1,1,25.0,61,1,3,91628
21089,854,18,1,3,2,18.0,61,1,3,90395
21090,854,17,9,2,3,15.0,61,1,3,92079
21091,854,4,6,5,4,12.0,61,1,3,90980
21092,854,1,1,4,5,10.0,61,1,5,148522
21093,854,814,10,10,6,8.0,61,1,2,60468
21094,854,3,131,7,7,6.0,60,11,3,89227
21095,854,16,10,9,8,4.0,60,11,2,64136
21096,854,13,6,6,9,2.0,60,11,4,124102
21097,854,815,15,11,10,1.0,60,11,2,64154
21098,854,813,3,13,11,0.0,60,11,3,91552
21099,854,67,5,14,12,0.0,60,11,3,96960
21100,854,22,3,12,13,0.0,60,11,2,61000
21101,854,155,15,17,14,0.0,59,12,4,117650
21102,854,811,4,15,15,0.0,59,12,4,134073
21103,854,5,205,19,16,0.0,59,12,3,95030
21104,854,808,4,18,17,0.0,59,12,3,91917
21105,854,816,166,22,18,0.0,59,12,2,63355
21106,854,817,164,23,19,0.0,57,14,3,112010
21107,854,24,164,24,20,0.0,57,14,4,141058
21108,854,153,5,16,21,0.0,56,3,3,87083
21109,854,15,205,20,22,0.0,47,6,3,95533
21110,854,30,131,8,23,0.0,28,3,2,59083
21112,855,18,1,2,1,25.0,53,1,3,62805
21113,855,4,6,5,2,18.0,53,1,3,63197
21114,855,20,9,1,3,15.0,53,1,3,65675
21115,855,17,9,6,4,12.0,53,1,3,64644
21116,855,1,1,3,5,10.0,53,1,3,65204
21117,855,30,131,8,6,8.0,53,1,3,64116
21118,855,13,6,4,7,6.0,53,1,3,63627
21119,855,815,15,17,8,4.0,53,1,2,46116
21120,855,808,4,10,9,2.0,53,1,2,42136
21121,855,3,131,23,10,1.0,53,1,3,62049
21122,855,16,10,11,11,0.0,53,1,3,64687
21123,855,814,10,12,12,0.0,53,1,3,65481
21124,855,155,15,7,13,0.0,53,1,2,46562
21125,855,813,3,14,14,0.0,53,1,3,63426
21126,855,153,5,16,15,0.0,53,1,2,44376
21127,855,811,4,9,16,0.0,53,1,2,48393
21128,855,22,3,13,17,0.0,53,1,3,66756
21129,855,5,205,18,18,0.0,53,1,3,65463
21130,855,15,205,19,19,0.0,53,1,3,66025
21131,855,10,166,21,20,0.0,51,12,3,70166
21132,855,816,166,20,21,0.0,51,12,3,69540
21133,855,817,164,22,22,0.0,51,12,3,69805
21134,855,24,164,24,23,0.0,50,13,3,75591
21135,855,67,5,15,24,0.0,11,36,1,21849
21136,856,20,9,2,1,25.0,55,1,2,40155
21137,856,1,1,1,2,18.0,55,1,2,41430
21138,856,17,9,4,3,15.0,55,1,2,41628
21139,856,18,1,3,4,12.0,55,1,2,41524
21140,856,4,6,6,5,10.0,55,1,2,41617
21141,856,13,6,5,6,8.0,55,1,2,44722
21142,856,153,5,11,7,6.0,55,1,2,44626
21143,856,3,131,7,8,4.0,55,1,2,40863
21144,856,67,5,13,9,2.0,55,1,2,44090
21145,856,814,10,9,10,1.0,55,1,2,43135
21146,856,16,10,10,11,0.0,55,1,2,46736
21147,856,22,3,18,12,0.0,55,1,2,44069
21148,856,811,4,15,13,0.0,54,11,2,43056
21149,856,5,205,19,14,0.0,54,11,2,44620
21150,856,155,15,14,15,0.0,54,11,3,68673
21151,856,815,15,17,16,0.0,54,11,3,64581
21152,856,15,205,20,17,0.0,54,11,2,45292
21153,856,10,166,21,18,0.0,54,11,2,45014
21154,856,817,164,24,19,0.0,54,11,2,45311
21155,856,816,166,22,20,0.0,54,11,2,49317
21156,856,24,164,23,21,0.0,52,13,3,72015
21157,856,813,3,16,22,0.0,30,8,3,57588
21158,856,808,4,8,23,0.0,16,4,1,21478
21159,856,30,131,12,24,0.0,15,4,1,20238
21160,857,20,9,1,1,25.0,60,1,2,42864
21161,857,18,1,4,2,18.0,60,1,2,42930
21162,857,4,6,3,3,15.0,60,1,2,43628
21163,857,17,9,2,4,12.0,60,1,2,42632
21164,857,30,131,11,5,10.0,60,1,2,42375
21165,857,3,131,7,6,8.0,60,1,2,44127
21166,857,1,1,5,7,6.0,60,1,3,71895
21167,857,153,5,10,8,4.0,59,11,2,45940
21168,857,16,10,8,9,2.0,59,11,2,43401
21169,857,815,15,20,10,1.0,59,11,2,47465
21170,857,808,4,16,11,0.0,59,11,2,49656
21171,857,811,4,14,12,0.0,59,11,2,43867
21172,857,814,10,12,13,0.0,59,11,3,66659
21173,857,5,205,18,14,0.0,58,12,2,44227
21174,857,22,3,15,15,0.0,58,12,2,55989
21175,857,816,166,21,16,0.0,57,13,2,45159
21176,857,39,164,24,17,0.0,57,13,2,47651
21177,857,817,164,23,18,0.0,57,13,3,96077
21178,857,15,205,19,19,0.0,55,15,3,87778
21179,857,13,6,6,20,0.0,32,22,3,64386
21180,857,67,5,9,21,0.0,24,5,1,22579
21182,857,10,166,22,23,0.0,2,4,1,27378
21184,858,1,1,2,1,25.0,55,1,2,38789
21185,858,4,6,5,2,18.0,55,1,2,41525
21186,858,18,1,3,3,15.0,55,1,2,41209
21187,858,17,9,4,4,12.0,55,1,3,64707
21188,858,13,6,6,5,10.0,55,1,2,40506
21189,858,3,131,7,6,8.0,55,1,2,39692
21190,858,30,131,8,7,6.0,55,1,2,40298
21191,858,16,10,9,8,4.0,55,1,2,40970
21192,858,814,10,10,9,2.0,55,1,1,20216
21193,858,155,15,16,10,1.0,54,11,2,42941
21194,858,815,15,11,11,0.0,54,11,2,44633
21195,858,22,3,24,12,0.0,54,11,2,44753
21196,858,808,4,12,13,0.0,54,11,2,40706
21197,858,813,3,23,14,0.0,54,11,2,33098
21198,858,153,5,15,15,0.0,54,11,2,64937
21199,858,811,4,14,16,0.0,54,11,3,54171
21200,858,5,205,17,17,0.0,54,11,2,41798
21201,858,15,205,18,18,0.0,53,12,2,41615
21202,858,10,166,19,19,0.0,53,12,2,42353
21203,858,24,164,22,20,0.0,53,12,1,21247
21204,858,817,164,20,21,0.0,48,26,2,44885
21208,859,17,9,2,1,25.0,71,1,3,62526
21209,859,20,9,1,2,18.0,71,1,3,63673
21210,859,18,1,3,3,15.0,71,1,3,64626
21211,859,4,6,5,4,12.0,71,1,3,62189
21212,859,13,6,7,5,10.0,71,1,2,42749
21213,859,16,10,8,6,8.0,70,11,3,63135
21214,859,3,131,6,7,6.0,70,11,2,41431
21215,859,814,10,11,8,4.0,70,11,2,42512
21216,859,155,15,16,9,2.0,70,11,2,46348
21217,859,808,4,15,10,1.0,70,11,3,66052
21218,859,153,5,13,11,0.0,70,11,2,44628
21219,859,67,5,14,12,0.0,70,11,2,44878
21220,859,815,15,17,13,0.0,70,11,2,43558
21221,859,22,3,12,14,0.0,70,11,3,65765
21222,859,30,131,10,15,0.0,70,11,3,67636
21223,859,5,205,19,16,0.0,69,12,3,66345
21224,859,811,4,9,17,0.0,69,12,4,81346
21225,859,15,205,20,18,0.0,69,12,2,44171
21226,859,816,166,23,19,0.0,68,13,2,45401
21227,859,817,164,22,20,0.0,68,13,2,46377
21228,859,24,164,21,21,0.0,61,31,2,45662
21229,859,1,1,4,22,0.0,46,6,3,62176
21230,859,813,3,18,23,0.0,26,31,1,21561
21231,859,10,166,24,24,0.0,21,31,1,22452
21232,860,18,1,2,1,25.0,58,1,2,46112
21233,860,20,9,6,2,18.0,58,1,2,48387
21234,860,1,1,1,3,15.0,58,1,2,46326
21235,860,17,9,5,4,12.0,58,1,2,46217
21236,860,4,6,12,5,10.0,58,1,2,43945
21237,860,155,15,13,6,8.0,58,1,2,49508
21238,860,8,208,17,7,6.0,58,1,2,48191
21239,860,815,15,22,8,4.0,58,1,1,23882
21240,860,817,5,10,9,2.0,58,1,3,79924
21241,860,814,10,15,10,1.0,58,1,2,49512
21242,860,818,5,11,11,0.0,58,1,2,46772
21243,860,3,131,7,12,0.0,58,1,2,46220
21244,860,813,3,8,13,0.0,57,3,2,46593
21245,860,10,206,20,14,0.0,57,11,2,51368
21246,860,819,206,21,15,0.0,53,15,3,91375
21247,860,811,3,14,16,0.0,52,4,3,79264
21248,860,13,6,16,17,0.0,46,4,3,66944
21249,860,5,207,18,18,0.0,38,22,3,77865
21250,860,808,207,19,19,0.0,34,38,1,24579
21256,861,4,6,8,1,25.0,56,1,3,70051
21257,861,815,15,9,2,18.0,56,1,3,74734
21258,861,1,1,1,3,15.0,56,1,3,78570
21259,861,17,9,4,4,12.0,56,1,3,74101
21260,861,8,208,10,5,10.0,56,1,3,77570
21261,861,811,3,13,6,8.0,56,1,4,106079
21262,861,814,10,14,7,6.0,56,1,3,69019
21263,861,818,5,18,8,4.0,56,1,2,47559
21264,861,807,10,16,9,2.0,56,1,3,70763
21265,861,30,131,3,10,1.0,56,1,3,71088
21266,861,20,9,5,11,0.0,56,1,4,98597
21267,861,817,5,15,12,0.0,56,1,4,96267
21268,861,3,131,7,13,0.0,56,1,4,97080
21269,861,18,1,2,14,0.0,56,1,5,133730
21270,861,13,6,12,15,0.0,56,1,4,98518
21271,861,808,207,19,16,0.0,55,11,3,84412
21272,861,10,206,20,17,0.0,55,11,3,76146
21273,861,5,207,24,18,0.0,55,11,4,115691
21274,861,813,3,11,19,0.0,54,5,4,94539
21275,861,819,206,21,20,0.0,54,12,3,98083
21276,861,39,164,23,21,0.0,54,12,2,64576
21277,861,37,164,22,22,0.0,54,12,3,83054
21278,861,155,15,17,23,0.0,46,31,3,78039
21280,862,3,131,1,1,25.0,56,1,2,41758
21281,862,18,1,5,2,18.0,56,1,3,67655
21282,862,1,1,7,3,15.0,56,1,3,61771
21283,862,17,9,6,4,12.0,56,1,3,61322
21284,862,20,9,11,5,10.0,56,1,2,42595
21285,862,154,208,10,6,8.0,56,1,2,47019
21286,862,811,3,14,7,6.0,56,1,2,42507
21287,862,813,3,13,8,4.0,56,1,2,42798
21288,862,4,6,9,9,2.0,56,1,3,60456
21289,862,155,15,3,10,1.0,56,1,3,64358
21290,862,815,15,8,11,0.0,56,1,2,45574
21291,862,814,10,15,12,0.0,56,1,2,41393
21292,862,13,6,12,13,0.0,56,1,2,40301
21293,862,8,208,4,14,0.0,56,1,2,42927
21294,862,807,10,16,15,0.0,56,1,2,53434
21295,862,818,5,24,16,0.0,56,1,3,68989
21296,862,817,5,17,17,0.0,56,1,2,44202
21297,862,808,207,19,18,0.0,55,11,2,43858
21298,862,10,206,20,19,0.0,55,11,2,42842
21299,862,819,206,21,20,0.0,55,11,3,59866
21300,862,37,164,22,21,0.0,55,11,2,47122
21301,862,39,164,23,22,0.0,54,12,2,48088
21302,862,5,207,18,23,0.0,53,13,3,83067
21303,862,30,131,2,24,0.0,12,61,1,21746
21304,863,20,9,1,1,25.0,57,1,3,66534
21305,863,8,208,11,2,18.0,57,1,3,67371
21306,863,154,208,7,3,15.0,57,1,3,68905
21307,863,17,9,3,4,12.0,57,1,3,66590
21308,863,3,131,5,5,10.0,57,1,3,67019
21309,863,814,10,10,6,8.0,57,1,2,44552
21310,863,4,6,9,7,6.0,57,1,3,68750
21311,863,1,1,2,8,4.0,57,1,3,82659
21312,863,13,6,14,9,2.0,57,1,3,67458
21313,863,30,131,22,10,1.0,57,1,3,66276
21314,863,815,15,8,11,0.0,57,1,3,69760
21315,863,807,10,13,12,0.0,57,1,3,67419
21316,863,155,15,12,13,0.0,57,1,3,73022
21317,863,818,5,17,14,0.0,57,1,3,68357
21318,863,817,5,6,15,0.0,56,11,3,70619
21319,863,808,207,18,16,0.0,56,11,3,69999
21320,863,5,207,16,17,0.0,56,11,4,95182
21321,863,18,1,4,18,0.0,55,43,4,91845
21322,863,10,206,23,19,0.0,55,12,3,76004
21323,863,37,164,20,20,0.0,55,12,3,72181
21324,863,39,164,24,21,0.0,55,12,4,101834
21325,863,811,3,15,22,0.0,54,76,3,68511
21326,863,813,3,21,23,0.0,25,29,2,45198
21327,863,819,206,19,24,0.0,24,5,1,24020
21328,864,813,3,1,1,25.0,66,1,3,63667
21329,864,4,6,2,2,18.0,66,1,3,59589
21330,864,8,208,4,3,15.0,66,1,3,61151
21331,864,154,208,3,4,12.0,66,1,3,62473
21332,864,155,15,9,5,10.0,66,1,3,63952
21333,864,20,9,7,6,8.0,66,1,4,78847
21334,864,3,131,6,7,6.0,66,1,3,60758
21335,864,1,1,24,8,4.0,66,1,2,41943
21336,864,18,1,10,9,2.0,66,1,3,61282
21337,864,807,10,13,10,1.0,65,11,3,61594
21338,864,17,9,11,11,0.0,65,11,3,65112
